id,bonus1_id,bonus2_id,bonus3_id,bonus4_id,effect1_id,effect2_id,malus1_id,malus2_id,malus3_id,name,isunique,description,bought,used,type,support ,support_2,support_3
1,18,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Feuilletage à l'iridium,0,"Couverture du support par de fines feuilles d’iridium superposées, sur plusieurs couches. On tâche de laisser chaque couche de feuilletage se fixer pendant une journée, en environnement clos, avant d'ajouter la suivante. Une fois que les couches sont achevées, on place une laque de fixation. Le résultat rend en général le support d’un gris passé.",0,0,Alliage métalique,Armures,Armes,
2,16,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mithril solaire,0,"Alliage de mithril et d’or. On le forge à haute température pendant un jour. La trempe se fait en deux fois, une à l’eau tiède, une à l’eau glacée. Le support aura une couleur d’or pouvant aller du saturé au pâle, mais très vibrante et avec des ondoiements. Cette différence vient souvent du dosage de chaque matériau qui est utilisé.",0,0,Alliage métalique,Armures,Armes,
3,18,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mithril supérieur,0,"Mélange de mithril et de palladium. On le forge d’abord à très haute température pendant deux jours. Sa trempe s’effectue ensuite dans une eau tiède. Les outils sont en général à usage unique pour chaque exemplaire de cet alliage. Lorsqu’il est terminé, il possède une couleur proche de celle de l’argent, avec un lustre brillant qui peut présenter des reflets ou des nuances.",0,0,Alliage métalique,Armures,Armes,
4,18,6,12,NULL,NULL,NULL,NULL,NULL,NULL,Aura,0,"Alliage de vrai-argent et d’or. On le forge d’abord à haute température, puis à basse. Il possède des couleurs claires, aux reflets bleu ciel ou rosés. Bien qu’il ne demande que des outils classiques à la forge, il faut néanmoins faire attention lors du mélange afin de respecter des doses strictes. La trempe se fait en une fois.",0,0,Alliage métalique,Armures,Armes,
5,18,16,6,NULL,NULL,NULL,NULL,NULL,NULL,Ciselure à l'iridium,0,"Le corps du support est creusé méthodiquement et très finement, en des sillons de la taille d’une aiguille. On remplit ensuite les sillons creusés avec une solution d’iridium traitée spécifiquement. On laisse durcir pendant une journée dans un lieu clos, où est projetée régulièrement de la fumée humide. Lorsque le traitement est terminé, le support présente des tracés d’un gris terne là où l’iridium a été implanté.",0,0,Alliage métalique,Armures,Armes,
6,22,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Palladium océanique,0,"Mélange de saphir et de palladium. On le forge à haute température, puis on le laisse reposer pendant une journée complète dans un environnement spécifique, avant d’achever avec une trempe en quatre phases, entrecoupées par un réchauffement de l’objet et son exposition à des flux d’énergie réguliers. Il adopte de délicates nuances de bleu.",0,0,Alliage métalique,Armures,Armes,Bijoux
7,18,8,6,NULL,80,NULL,NULL,NULL,NULL,Ôl d'armure,0,"Alliage d'ilith et de vrai-argent, il n’est pas forgé dans une forge classique, mais dans une forge-arcane, où les sources de chaleur sont toutes énergétiques. Fondu par un maître mage, il est longuement imprégné d’énergie, puis réassemblé dans un moule fait de glace à très basse température. On l’y plonge seulement une minute puis on le ressort pour achever son polissage. Il a une couleur pâle, parfois un peu bleutée, et on peut éventuellement le teindre si la personne le demande. Il peut être mat ou brillant, mais montre toujours des nuances et des ondoiements.",0,0,Alliage métalique,Armures,,
8,18,6,NULL,NULL,159,NULL,NULL,NULL,NULL,Clara,0,"Mélange d’orichalque, d’ilith et d’une fine poudre d’artefacts draconiques. Forgé à basse température, puis trempé dans une eau à haute densité en minéraux, l’alliage demande beaucoup de soin et de temps, entre une semaine et deux mois. Il porte des filigranes et des incrustations personnalisés pour chaque personne. De plus, sa forge en feuilletage donne des nuances de couleur et peut permettre de renforcer une zone plus qu'une autre.",0,0,Alliage métalique,Armures,,
9,18,6,NULL,NULL,163,NULL,NULL,NULL,NULL,Esper,0,"Mélange de mithril, de rysine et de cristal de magie. Forgé à haute température, puis trempé dans une eau à haute densité en minéraux, l’alliage demande beaucoup de soin et de temps, entre une semaine et deux mois. Il porte des filigranes et des incrustations personnalisés pour chaque personne. De plus, sa forge en feuilletage donne des nuances de couleur et peut permettre de renforcer une zone plus qu'une autre.",0,0,Alliage métalique,Armures,,
10,18,6,NULL,NULL,134,NULL,NULL,NULL,NULL,Thïs,0,"Mélange de mithril, d’ilith et de runes incarnées. Forgé à haute température puis trempé dans une eau à haute densité en minéraux, l’alliage demande beaucoup de soin et de temps, entre une semaine et deux mois. Il porte des filigranes et des incrustations personnalisés pour chaque personne. De plus, sa forge en feuilletage donne des nuances de couleur et peut permettre de renforcer une zone plus qu'une autre.",0,0,Alliage métalique,Armures,,
11,NULL,NULL,NULL,NULL,120,149,47,32,NULL,Lithiné,0,"Pour boucliers quand armes.
Mélange d’iridium, d’argent sombre, d’un peu d’adamantine et de technologie almaréenne. Il est forgé avec une température extrême et trempé avec de la glace ou, si possible, du permafrost. Il demande énormément de temps de forge, plus d’un mois, et une extrême attention, afin de ne pas rater sa préparation. Une fois terminé, l’alliage est d’un noir profond, mat et lisse. Il ne se raye pas et ne se ternit pas.",0,0,Alliage métalique,Armures,Armes,
12,18,6,12,NULL,NULL,NULL,NULL,NULL,NULL,Shalka,0,"Alliage de vrai-argent et de rysine. On le forge d’abord à haute température, puis à basse. Il possède des couleurs sombres, aux reflets bleus ou violines. Bien qu’il ne demande que des outils classiques à la forge, il faut néanmoins faire attention lors du mélange afin de respecter des doses strictes. La trempe se fait en une fois.",0,0,Alliage métalique,Armures,Armes,
13,18,NULL,NULL,NULL,91,NULL,54,NULL,NULL,Thorium,0,"Alliage d'adamantine et de poudre d’os de vampires. On broie l’os et on l’ajoute au métal fondu que l’on chauffe à température moyenne, pincée par pincée. La trempe se fait dans de l’eau glacée. Le support adopte une apparence terne à la surface poudreuse. Il est parfois possible de rajouter quelques copeaux d’iridium.",0,0,Alliage métalique,Armes,,
14,NULL,NULL,NULL,NULL,131,141,19,NULL,NULL,Verre tribal,0,"Il ne s’agit pas réellement d’un alliage mais d’une reconstruction de l’objet avec un verre végétal issu de la sève des arbres de l’archipel et d’une inclusion d’orhium. Chaque objet est un exemplaire unique de cet alliage et doit être travaillé pendant un mois avant d’être utilisable. On peut inclure des pigments dans le mélange, afin de le teinter selon le choix du porteur.",0,0,Alliage métalique,Armes,,
15,18,NULL,NULL,NULL,81,119,NULL,NULL,NULL,Laque d’opiniâtreté,0,"Une laque faite de pierre de lune et d'adamantine, elle est dure à doser, car il ne faut appliquer qu'une couche très légère. Il faut également que cette couche soit uniforme sur toute l'arme, exceptée la garde qu'on ne laque pas. Il faut ensuite laisser sécher l'arme une nuit entière, et de préférence à la pleine lune. Une fois que la laque est sèche, l'arme est polie et peut éventuellement être gravée.",0,0,Alliage métalique,Armes,,
16,18,8,6,NULL,90,NULL,NULL,NULL,NULL,Ôl,0,"Alliage d'ilith et de vrai-argent, il n’est pas forgé dans une forge classique, mais dans une forge-arcane, où les sources de chaleur sont toutes énergétiques. Fondu par un maître mage, il est longuement imprégné d’énergie, puis réassemblé dans un moule fait de glace à très basse température. On l’y plonge seulement une minute puis on le ressort pour achever son polissage. Il a une couleur pâle, parfois un peu bleutée, et on peut éventuellement le teindre si la personne le demande. Il peut être mat ou brillant, mais montre toujours des nuances et des ondoiements.",0,0,Alliage métalique,Armes,,
17,68,NULL,NULL,NULL,115,NULL,NULL,NULL,NULL,Laque d'invisibilité,0,"Plus précisément pour Armes tranchantes.
Cette laque est appliquée par couches successives d'une à cinq, pendant une semaine, puis laissée à sécher dans un lieu conditionné pour cet usage. Cette laque est constituée d'une poudre de pieuvre d'énergie, de poudre d'agathe et d'orichalque. Une fois appliquée, la laque semble s’estomper peu à peu jusqu’à devenir invisible. Elle s’écaille lentement pour ne plus coller, et une fois débarrassée de la solution, l’arme est traitée définitivement.",0,0,Alliage métalique,Armes,,
18,22,NULL,NULL,NULL,141,NULL,19,3,NULL,Vitrail chatoyant,0,"Il ne s'agit pas d'un travail de métal pur, mais d’un assemblage de verre et plus précisément des vitraux. L'arme est donc complètement reconstruite, en un vitrail unique à chaque fois, et dont la structure est faite d'un mélange de mithril et de tourmaline. Le résultat est absolument époustouflant et très prisé dans les hautes sociétés.",0,0,Alliage métalique,Armes,,
19,18,NULL,NULL,NULL,104,140,NULL,NULL,NULL,Abîme,0,"Alliage d’argent sombre, d’adamantine, de gemmes de sang et d’orhium. On fusionne d’abord l’argent sombre avec l’adamantine et on laisse le métal en fusion dans un moule infusé de magie pour qu’il ne durcisse pas. Puis, pendant plusieurs jours, on laisse reposer en incluant par couches soufflées la poudre de gemme de sang et lorsque l’alliage a durci, on le fond de nouveau pour inclure l’orhium. Une fois achevé par une trempe lourde à l’eau et au sang, l’alliage présente une teinte sombre, veinée.
",0,0,Alliage métalique,Armes,,
20,18,8,6,NULL,121,NULL,NULL,NULL,NULL,Ôl animale,0,"Alliage d'ilith et de vrai-argent, il n’est pas forgé dans une forge classique, mais dans une forge-arcane, où les sources de chaleur sont toutes énergétiques. Fondu par un maître mage, il est longuement imprégné d’énergie, puis réassemblé dans un moule fait de glace à très basse température. On l’y plonge seulement une minute puis on le ressort pour achever son polissage. Il a une couleur pâle, parfois un peu bleutée, et on peut éventuellement le teindre si la personne le demande. Il peut être mat ou brillant, mais montre toujours des nuances et des ondoiements.",0,0,Alliage métalique,Armes,,
21,18,68,53,12,NULL,NULL,65,NULL,NULL,Ventaës,0,"Un alliage d'acier, de mithril et d’adamantine, dans lequel a été insufflée l'essence du vent, prélevée par une infusion de cristal de magie pendant une semaine. On place le métal en fusion dans un moule spécifiquement préparé, puis on place le cristal de magie au-dessus de ce moule et on l’alimente en énergie afin qu’il diffuse sa force à l’intérieur de l’alliage. Celui-ci prend une teinte vert cristal une fois achevé.",0,0,Alliage métalique,Armes,,
