id,title_id,subtype_id,glyphe1_id,glyphe2_id,glyph3_id,glyph4_id,glyph_sup1_id,glyph_sup2_id,alloy_id,rarity_id,max_number,legend_id,character_id,name,description,comment,shop,boat_id,price,personalization
1,,1,,,,,,,,1,,,,Epée à une main,,,Boutique des essentiels,,15,1
2,,1,,,,,,,,1,,,,Epée bâtarde,Large et grande épée à une main et demie ou 2 mains,,Boutique des essentiels,,30,1
3,,1,,,,,,,,1,,,,Epée à deux mains,,,Boutique des essentiels,,40,1
4,,2,,,,,,,,1,,,,Dague ,,,Boutique des essentiels,,15,1
5,,5,,,,,,,,1,,,,Hache,,,Boutique des essentiels,,15,1
6,,3,,,,,,,,1,,,,Lance,,,Boutique des essentiels,,15,1
7,,3,,,,,,,,1,,,,Faux,,,Boutique des essentiels,,30,1
8,,3,,,,,,,,1,,,,Hallebarde,,,Boutique des essentiels,,40,1
9,,4,,,,,,,,1,,,,Bâton,,,Boutique des essentiels,,15,1
10,,4,,,,,,,,1,,,,Masse,,,Boutique des essentiels,,15,1
11,,4,,,,,,,,1,,,,Fléau d'armes,,,Boutique des essentiels,,30,1
12,,4,,,,,,,,1,,,,Marteau,,,Boutique des essentiels,,40,1
13,,7,,,,,,,,1,,,,Couteau de lancer,,,Boutique des essentiels,,15,1
14,,7,,,,,,,,1,,,,Dague de jet,,,Boutique des essentiels,,15,1
15,,7,,,,,,,,1,,,,Javelot,,,Boutique des essentiels,,30,1
16,,7,,,,,,,,1,,,,Filet de combat,,,Boutique des essentiels,,30,1
17,,7,,,,,,,,1,,,,Anneau de lancer,,,Boutique des essentiels,,30,1
18,,9,,,,,,,,1,,,,Arc,,,Boutique des essentiels,,15,1
19,,9,,,,,,,,1,,,,Arbalètes,,,Boutique des essentiels,,15,1
20,,9,,,,,,,,1,,,,Sarbacane,,,Boutique des essentiels,,15,1
21,,9,,,,,,,,1,,,,Lance-Pierre,,,Boutique des essentiels,,15,1
22,,9,,,,,,,,1,,,,Carquois,,,Boutique des essentiels,,15,1
23,,10,,,,,,,,1,,,,Gants renforcés,Pour pugilat.,,Boutique des essentiels,,30,1
24,,8,,,,,,,,1,,,,Bouclier,,,Boutique des essentiels,,15,1
25,,6,,,,,,,,1,,,,Fouet,,,Boutique des essentiels,,15,1
26,,11,,,,,,,,1,,,,Armure légère,Aucune Force minimum nécessaire,,Boutique des essentiels,,15,1
27,,12,,,,,,,,1,,,,Armure intermédiaire,Force nécessaire : Bon,,Boutique des essentiels,,25,1
28,,13,,,,,,,,1,,,,Armure lourde,Force nécessaire : Très bon,,Boutique des essentiels,,45,1
29,,19,,,,,,,,1,,,,Gants ou gantelets,,,Boutique des essentiels,,10,1
30,,15,,,,,,,,1,,,,Brassard ou protection d'avant-bras,,,Boutique des essentiels,,10,1
31,,16,,,,,,,,1,,,,Grèves ou protection de jambes,,,Boutique des essentiels,,10,1
32,,17,,,,,,,,1,,,,Robe / Tunique / Costume simple ,,,Boutique des essentiels,,5,1
33,,17,,,,,,,,1,,,,Robe / Tunique / Costume raffiné(e) ,,,Boutique des essentiels,,15,1
34,,17,,,,,,,,1,,,,Robe / Tunique / Costume de luxe ,,,Boutique des essentiels,,25,1
35,,19,,,,,,,,1,,,,Gants,,,Boutique des essentiels,,5,1
36,,18,,,,,,,,1,,,,Cape / Manteau,,,Boutique des essentiels,,10,1
37,,20,,,,,,,,1,,,,Foulard / Echarpe / Châle,,,Boutique des essentiels,,5,1
38,,20,,,,,,,,1,,,,Tabard,,,Boutique des essentiels,,5,1
39,,20,,,,,,,,1,,,,Chapeau / Couvre-chef,,,Boutique des essentiels,,5,1
40,,21,,,,,,,,1,,,,Souliers simples,,,Boutique des essentiels,,5,1
41,,21,,,,,,,,1,,,,Souliers raffinés,,,Boutique des essentiels,,15,1
42,,21,,,,,,,,1,,,,Bottes,,,Boutique des essentiels,,15,1
43,,21,,,,,,,,1,,,,Echasses,,,Boutique des essentiels,,10,1
44,,43,,,,,,,,1,,,,Compagnon domestique,"(Chat, chien, singe, oiseau domestique, poule, cochon, vache… Chèvre…)",,Boutique des essentiels,,50,1
45,,43,,,,,,,,1,,,,Compagnon de combat,"(Chien de combat, rapace…)",,Boutique des essentiels,,100,1
46,,42,,,,,,,,1,,,,Monture,"(Cheval, poney...)",,Boutique des essentiels,,100,1
47,,45,,,,,,,,1,,,,Harnachement simple,"(comprenant un ensemble complet tels que selles, mors, étriers, harnais, autres...)",,Boutique des essentiels,,10,1
48,,45,,,,,,,,1,,,,Harnachement raffiné,"(comprenant un ensemble complet tels que selles, mors, étriers, harnais, autres...)",,Boutique des essentiels,,30,1
49,,45,,,,,,,,1,,,,Traineau,,,Boutique des essentiels,,30,1
50,,45,,,,,,,,1,,,,Gants / Sifflet / Cravache ... pour le domptage,,,Boutique des essentiels,,10,1
51,,45,,,,,,,,1,,,,Armure pour animaux,,,Boutique des essentiels,,75,1
52,,46,,,,,,,,1,,,,Selle pour dragonnier,,,Boutique des essentiels,,60,1
53,,46,,,,,,,,1,,,,Armure pour dragon,Elle coûte une fortune et ne doit pas être achetée trop tôt ou le dragon ne rentrera plus dedans.,,Boutique des essentiels,,200,1
54,,46,,,,,,,,1,,,,"Pièce d'armure supplémentaire (griffe, casque..) pour dragon",,,Boutique des essentiels,,75,1
55,,46,,,,,,,,1,,,,Joaillerie pour dragon,,,Boutique des essentiels,,50,1
56,,34,,,,,,,,1,,,,Nécessaire de fonction ou objet de la vie courante,"(Tablette de scribe, lot de fioles de guérisseur, objet de culte d’un prêtre, sceptre royal, boussole, longue-vue ou compas de navigation, mobilier de maison, couverture etc. Ce doit être un objet de faible valeur.)",,Boutique des essentiels,,15,1
57,,34,,,,,,,,1,,,,Nécessaire de fonction ou objet de la vie courante de luxe,"(Tablette de scribe, lot de fioles de guérisseur, objet de culte d’un prêtre, sceptre royal, boussole, longue-vue ou compas de navigation, mobilier de maison, couverture etc. Ce peut être un objet plus richement décoré, ancien ou fait avec des matériaux nobles...)",,Boutique des essentiels,,50,1
58,,34,,,,,,,,1,,,,Corde / Lasso / Chaîne,,,Boutique des essentiels,,5,1
59,,34,,,,,,,,1,,,,Outre / Sac / Malle,,,Boutique des essentiels,,10,1
60,,34,,,,,,,,1,,,,Jeux ,,,Boutique des essentiels,,5,1
61,,34,,,,,,,,1,,,,Grappin,,,Boutique des essentiels,,20,1
62,,29,,,,,,,,1,,,,Eventail,,,Boutique des essentiels,,5,1
63,,29,,,,,,,,1,,,,Gemme ou pierre précieuse,,,Boutique des essentiels,,30,1
64,,34,,,,,,,,1,,,,Livre,,,Boutique des essentiels,,5,1
65,,35,,,,,,,,1,,,,Petit instrument de musique,"(Flûte, harpe, mandoline, tambours, boîte à musique...)",,Boutique des essentiels,,10,1
66,,35,,,,,,,,1,,,,Gros instrument de musique,(Type Orgue...),,Boutique des essentiels,,30,1
67,,35,,,,,,,,1,,,,Instrument de musique de luxe,"(Finitions raffinées, histoire ancienne, sonorité parfaite : à vous de composer...)",,Boutique des essentiels,,50,1
68,,47,,,,,,,,1,,,,Bijou ou accessoire simple ,"(Collier, amulette, diadème, bague, bracelet, fibule, broche, etc)",,Boutique des essentiels,,10,1
69,,47,,,,,,,,1,,,,Bijou ou accessoire en matériaux précieux ,"(Collier, amulette, diadème, bague, bracelet, fibule, broche, etc)",,Boutique des essentiels,,30,1
70,,1,38,,,,,,,1,,,,Épée musicale,"La lame est généralement très fine, damasquinée avec un solide tranchant et un manche fait sur mesure pour la main de son propriétaire. Le manche est gravé de runes, sur la jonction avec le pommeau. Sa garde élégante est souvent de bois et porte en son centre le cimier du propriétaire ainsi que le sceau du forgeron. Sa couleur varie au choix de l’acheteur.",,Boutique des objets communs,,50,0
71,,1,47,,,,,,,1,,,,Epée de sécheresse,"La lame est longue, droite ou courbe, et peut avoir un ou deux tranchants. Le manche est renforcé par des bandes de cuir et possède un pommeau très simple, petit, et une garde de taille normale, gravée. La lame peut posséder un lustre coloré en fonction du forgeron. Le sceau de celui-ci se trouve en général sur la pointe de la lame. Celle-ci dépend de la forme de la lame, soit arrondie soit pointue.",,Boutique des objets communs,,150,0
72,,1,17,,,,,,,1,,,,Épée papillon,"Une épée au tranchant évasé, mais très coupant, en forme d'aile d’insecte. Sur le corps de l’arme se trouvent incrustées des pierres, souvent des citrines, qui portent un même glyphe commun. Sa poignée doit être adaptée et elle ne possède qu’une garde restreinte et pas de pommeau. La jonction entre le corps de l’arme et la poignée est souvent renforcée par des bandes de cuir brun-rouge.",,Boutique des objets communs,,150,0
73,,1,279,,,,,,,1,,,,Épée segmentée,"Épée assez lourde d’aspect classique de prime abord. Sa lame est assez épaisse, à deux tranchants. Sa garde est courte et sa poignée permet une prise en main facile et ferme et porte le sceau du forgeron. Le pommeau est de forme simple arrondie. Une fois l’épée dépliée en forme de fouet, les lames métalliques, reliées par un fil métallique souple mais résistant, sont d’une longueur d’une demi-main chacune.",,Boutique des objets communs,,150,0
74,,1,18,,,,,,,1,,,,Epée de la lune de Force,"Une épée longue à une main de couleur pâle, avec une accroche d'une main et demie. Elle porte une unique rune et est enchantée pour absorber la lumière de la lune. Son tranchant damasquiné est souvent scintillant, mais il peut aussi avoir des reflets mats plus humbles. Sa garde est de taille moyenne.",,Boutique des objets communs,,250,0
75,,1,19,,,,,,,1,,,,Epée de la lune d'Endurance,"Une épée longue à une main de couleur pâle, avec une accroche d'une main et demie. Elle porte une unique rune et est enchantée pour absorber la lumière de la lune. Son tranchant damasquiné est souvent scintillant, mais il peut aussi avoir des reflets mats plus humbles. Sa garde est de taille moyenne.",,Boutique des objets communs,,250,0
76,,1,20,,,,,,,1,,,,Epée de la lune de Coordination,"Une épée longue à une main de couleur pâle, avec une accroche d'une main et demie. Elle porte une unique rune et est enchantée pour absorber la lumière de la lune. Son tranchant damasquiné est souvent scintillant, mais il peut aussi avoir des reflets mats plus humbles. Sa garde est de taille moyenne.",,Boutique des objets communs,,250,0
77,,1,21,,,,,,,1,,,,Epée de la lune de Furtivité,"Une épée longue à une main de couleur pâle, avec une accroche d'une main et demie. Elle porte une unique rune et est enchantée pour absorber la lumière de la lune. Son tranchant damasquiné est souvent scintillant, mais il peut aussi avoir des reflets mats plus humbles. Sa garde est de taille moyenne.",,Boutique des objets communs,,250,0
78,,1,22,,,,,,,1,,,,Epée de la lune de Perception,"Une épée longue à une main de couleur pâle, avec une accroche d'une main et demie. Elle porte une unique rune et est enchantée pour absorber la lumière de la lune. Son tranchant damasquiné est souvent scintillant, mais il peut aussi avoir des reflets mats plus humbles. Sa garde est de taille moyenne.",,Boutique des objets communs,,250,0
79,,1,23,,,,,,,1,,,,Épée du soleil de Force,"Une épée longue à une main de couleur claire, avec une accroche d'une main et demie. Elle porte une unique rune et est enchantée pour absorber la lumière du soleil. Son tranchant damasquiné est souvent scintillant, mais il peut aussi avoir des reflets mats plus humbles. Sa garde est de taille moyenne.",,Boutique des objets communs,,250,0
80,,1,24,,,,,,,1,,,,Épée du soleil d'Endurance,"Une épée longue à une main de couleur claire, avec une accroche d'une main et demie. Elle porte une unique rune et est enchantée pour absorber la lumière du soleil. Son tranchant damasquiné est souvent scintillant, mais il peut aussi avoir des reflets mats plus humbles. Sa garde est de taille moyenne.",,Boutique des objets communs,,250,0
81,,1,25,,,,,,,1,,,,Épée du soleil de Coordination,"Une épée longue à une main de couleur claire, avec une accroche d'une main et demie. Elle porte une unique rune et est enchantée pour absorber la lumière du soleil. Son tranchant damasquiné est souvent scintillant, mais il peut aussi avoir des reflets mats plus humbles. Sa garde est de taille moyenne.",,Boutique des objets communs,,250,0
82,,1,26,,,,,,,1,,,,Épée du soleil de Furtivité,"Une épée longue à une main de couleur claire, avec une accroche d'une main et demie. Elle porte une unique rune et est enchantée pour absorber la lumière du soleil. Son tranchant damasquiné est souvent scintillant, mais il peut aussi avoir des reflets mats plus humbles. Sa garde est de taille moyenne.",,Boutique des objets communs,,250,0
83,,1,27,,,,,,,1,,,,Épée du soleil de Perception,"Une épée longue à une main de couleur claire, avec une accroche d'une main et demie. Elle porte une unique rune et est enchantée pour absorber la lumière du soleil. Son tranchant damasquiné est souvent scintillant, mais il peut aussi avoir des reflets mats plus humbles. Sa garde est de taille moyenne.",,Boutique des objets communs,,250,0
84,,1,121,,,,,,,1,,,,Lame de paresse,"Une épée à un ou deux tranchants, dotée d’une lame de largeur moyenne, au forgeage simple et d’une couleur pâle et terne. Sa garde est courte, fine, et son manche adapté à une prise en main facile. Le pommeau en forme de larme est relativement petit. On trouve le sceau du forgeron sur ce pommeau plutôt que sur le corps de l’arme. ",,Boutique des objets communs,,250,0
